"_","ST","County","StateFIPS","CountyFIPS","S_C_Rate","U_C_Rate","Deaths","Population"
"","","","","","","","",""
"2008-2014, United States","","","","","","","",""
"Smoothed  Death Rates per 100,000 Population","","","","","","","",""
"Firearm, Homicide, All Races, All Ethnicities, Both Sexes, All Ages","","","","","","","",""
"Annualized Crude Rate for United States: 3.65","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"Reports for All Ages include those of unknown age.","","","","","","","",""
"* Rates based on 20 or fewer deaths may be unstable.  These rates are suppressed for counties (see legend above); such rates in the title have an asterisk.","","","","","","","",""
"","","","","","","","",""
"Rates appearing in this map have been geospatially smoothed.                                      m1770934 created 24MAR17:19:57     downloaded 08DEC20:19:50","","","","","","","",""
"","","","","","","","",""
"Types of Rates:    S_C_Rate = Smoothed, Crude Rate.","","","","","","","",""
".......................    U_C_Rate = Unsmoothed, Crude Rate.","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"Produced by: the Statistics, Programming & Economics Branch, National Center for Injury Prevention & Control, CDC","","","","","","","",""
"Data Sources: NCHS National Vital Statistics System for numbers of deaths; US Census Bureau for population estimates.","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","ST","County","StateFIPS","CountyFIPS","S_C_Rate","U_C_Rate","Deaths","Population"
"","ME","ANDROSCOGGIN","23","1","0.830507923","","","753506"
"","ME","AROOSTOOK","23","3","1.224639038","","","498230"
"","ME","CUMBERLAND","23","5","0.983603538","","","1984688"
"","ME","FRANKLIN","23","7","","","","214342"
"","ME","HANCOCK","23","9","1.481597284","","","381842"
"","ME","KENNEBEC","23","11","0.713679087","","","851863"
"","ME","KNOX","23","13","","","","278441"
"","ME","LINCOLN","23","15","","","","240656"
"","ME","OXFORD","23","17","1.017447338","","","403696"
"","ME","PENOBSCOT","23","19","1.292462934","","","1075369"
"","ME","PISCATAQUIS","23","21","1.21468604","","","121317"
"","ME","SAGADAHOC","23","23","0.760228196","","","247010"
"","ME","SOMERSET","23","25","1.059994824","","","363229"
"","ME","WALDO","23","27","0.981724619","","","271893"
"","ME","WASHINGTON","23","29","1.328030979","","","228243"
"","ME","YORK","23","31","0.903777065","","","1389448"
"","MD","ALLEGANY","24","1","1.048511545","","","519719"
"","MD","ANNE ARUNDEL","24","3","8.205394577","1.812199887","69","3807527"
"","MD","BALTIMORE","24","5","6.923510765","3.7624012","214","5687857"
"","MD","CALVERT","24","9","4.71263761","","","624795"
"","MD","CAROLINE","24","11","1.990018949","","","229789"
"","MD","CARROLL","24","13","2.560451778","","","1171369"
"","MD","CECIL","24","15","2.544807608","","","710013"
"","MD","CHARLES","24","17","3.095826899","2.876820308","30","1042818"
"","MD","DORCHESTER","24","19","2.266249989","","","227944"
"","MD","FREDERICK","24","21","1.047649961","1.630722325","27","1655708"
"","MD","GARRETT","24","23","1.387925559","","","210101"
"","MD","HARFORD","24","25","2.587938347","1.448241863","25","1726231"
"","MD","HOWARD","24","27","3.215521299","","","2056293"
"","MD","KENT","24","29","4.559134911","","","140348"
"","MD","MONTGOMERY","24","31","3.778890748","1.170006747","81","6923037"
"","MD","PRINCE GEORGES","24","33","3.903461448","7.555896088","463","6127665"
"","MD","QUEEN ANNES","24","35","1.881649868","","","336719"
"","MD","ST MARYS","24","37","1.982169622","","","746967"
"","MD","SOMERSET","24","39","3.459400208","","","183872"
"","MD","TALBOT","24","41","","","","264193"
"","MD","WASHINGTON","24","43","1.000169269","","","1037872"
"","MD","WICOMICO","24","45","2.157530338","3.300353712","23","696895"
"","MD","WORCESTER","24","47","2.605152645","","","360279"
"","MD","BALTIMORE CITY","24","510","9.886565205","24.95582176","1086","4351690"
"","MA","BARNSTABLE","25","1","1.121141546","","","1508878"
"","MA","BERKSHIRE","25","3","1.382317953","","","912864"
"","MA","BRISTOL","25","5","1.333210356","1.429196563","55","3848316"
"","MA","DUKES","25","7","","","","117061"
"","MA","ESSEX","25","9","1.67873734","1.19815074","63","5258103"
"","MA","FRANKLIN","25","11","0.659318829","","","499520"
"","MA","HAMPDEN","25","13","1.790124751","2.733081992","89","3256397"
"","MA","HAMPSHIRE","25","15","1.183873642","","","1115977"
"","MA","MIDDLESEX","25","17","1.436396201","0.590595083","63","10667207"
"","MA","NANTUCKET","25","19","","","","72481"
"","MA","NORFOLK","25","21","1.627298355","0.590653873","28","4740509"
"","MA","PLYMOUTH","25","23","1.0232827","1.40560999","49","3486031"
"","MA","SUFFOLK","25","25","1.696321372","5.509470858","284","5154760"
"","MA","WORCESTER","25","27","0.981999361","0.694137175","39","5618486"
"","MI","ALCONA","26","1","","","","75733"
"","MI","ALGER","26","3","","","","66601"
"","MI","ALLEGAN","26","5","1.564656422","","","784072"
"","MI","ALPENA","26","7","","","","206137"
"","MI","ANTRIM","26","9","","","","164744"
"","MI","ARENAC","26","11","","","","110639"
"","MI","BARAGA","26","13","","","","61417"
"","MI","BARRY","26","15","1.904161934","","","414886"
"","MI","BAY","26","17","4.052336216","","","751680"
"","MI","BENZIE","26","19","","","","122567"
"","MI","BERRIEN","26","21","2.759407478","","","1094407"
"","MI","BRANCH","26","23","1.819492786","","","311590"
"","MI","CALHOUN","26","25","1.810396217","3.054206907","29","949510"
"","MI","CASS","26","27","2.456091328","","","365149"
"","MI","CHARLEVOIX","26","29","","","","182578"
"","MI","CHEBOYGAN","26","31","","","","182244"
"","MI","CHIPPEWA","26","33","","","","271834"
"","MI","CLARE","26","35","","","","215782"
"","MI","CLINTON","26","37","1.599482011","","","531519"
"","MI","CRAWFORD","26","39","","","","98270"
"","MI","DELTA","26","41","","","","258680"
"","MI","DICKINSON","26","43","","","","183473"
"","MI","EATON","26","45","1.985055277","","","755858"
"","MI","EMMET","26","47","","","","230264"
"","MI","GENESEE","26","49","4.358252447","10.76086416","318","2955153"
"","MI","GLADWIN","26","51","0.790761496","","","179658"
"","MI","GOGEBIC","26","53","","","","113133"
"","MI","GRAND TRAVERSE","26","55","","","","617914"
"","MI","GRATIOT","26","57","3.057348808","","","295413"
"","MI","HILLSDALE","26","59","1.640416828","","","325186"
"","MI","HOUGHTON","26","61","","","","256281"
"","MI","HURON","26","63","","","","229431"
"","MI","INGHAM","26","65","1.593104782","2.582414466","51","1974896"
"","MI","IONIA","26","67","1.562835329","","","448961"
"","MI","IOSCO","26","69","","","","180314"
"","MI","IRON","26","71","","","","82121"
"","MI","ISABELLA","26","73","","","","491878"
"","MI","JACKSON","26","75","1.781173043","2.052341856","23","1120671"
"","MI","KALAMAZOO","26","77","1.692301433","2.26015516","40","1769790"
"","MI","KALKASKA","26","79","","","","120816"
"","MI","KENT","26","81","1.676332153","2.010574688","86","4277384"
"","MI","KEWEENAW","26","83","","","","15240"
"","MI","LAKE","26","85","1.375483737","","","80417"
"","MI","LAPEER","26","87","3.5614174","","","619625"
"","MI","LEELANAU","26","89","","","","152133"
"","MI","LENAWEE","26","91","2.516420754","","","697947"
"","MI","LIVINGSTON","26","93","3.549168048","","","1278555"
"","MI","LUCE","26","95","","","","45884"
"","MI","MACKINAC","26","97","","","","77832"
"","MI","MACOMB","26","99","8.588471082","2.397071926","142","5923894"
"","MI","MANISTEE","26","101","","","","172682"
"","MI","MARQUETTE","26","103","","","","470956"
"","MI","MASON","26","105","","","","200831"
"","MI","MECOSTA","26","107","1.032314897","","","301408"
"","MI","MENOMINEE","26","109","","","","167683"
"","MI","MIDLAND","26","111","3.553675715","","","585307"
"","MI","MISSAUKEE","26","113","","","","104886"
"","MI","MONROE","26","115","11.50255988","","","1059465"
"","MI","MONTCALM","26","117","1.543316835","","","442441"
"","MI","MONTMORENCY","26","119","","","","67236"
"","MI","MUSKEGON","26","121","1.840457936","3.406699232","41","1203511"
"","MI","NEWAYGO","26","123","2.071199498","","","338502"
"","MI","OAKLAND","26","125","8.22548031","2.622287373","223","8504026"
"","MI","OCEANA","26","127","2.638350364","","","185570"
"","MI","OGEMAW","26","129","","","","150661"
"","MI","ONTONAGON","26","131","","","","46028"
"","MI","OSCEOLA","26","133","","","","163835"
"","MI","OSCODA","26","135","","","","60336"
"","MI","OTSEGO","26","137","","","","169210"
"","MI","OTTAWA","26","139","1.757086156","","","1873507"
"","MI","PRESQUE ISLE","26","141","","","","92923"
"","MI","ROSCOMMON","26","143","","","","170063"
"","MI","SAGINAW","26","145","6.695136312","8.694246349","121","1391725"
"","MI","ST CLAIR","26","147","2.0431301","","","1135375"
"","MI","ST JOSEPH","26","149","1.979447678","","","428527"
"","MI","SANILAC","26","151","0.936355539","","","299061"
"","MI","SCHOOLCRAFT","26","153","","","","58692"
"","MI","SHIAWASSEE","26","155","5.65195275","","","490011"
"","MI","TUSCOLA","26","157","6.965059673","","","386434"
"","MI","VAN BUREN","26","159","1.588582476","","","531042"
"","MI","WASHTENAW","26","161","8.645414173","1.597281182","39","2441649"
"","MI","WAYNE","26","163","8.183187535","16.5349075","2093","12658069"
"","MI","WEXFORD","26","165","","","","228894"
"","MN","AITKIN","27","1","","","","112392"
"","MN","ANOKA","27","3","1.835353693","","","2338047"
"","MN","BECKER","27","5","","","","229473"
"","MN","BELTRAMI","27","7","","","","314078"
"","MN","BENTON","27","9","0.88778897","","","271515"
"","MN","BIG STONE","27","11","","","","36522"
"","MN","BLUE EARTH","27","13","","","","449971"
"","MN","BROWN","27","15","","","","179463"
"","MN","CARLTON","27","17","","","","247381"
"","MN","CARVER","27","19","1.959646879","","","649779"
"","MN","CASS","27","21","1.18486688","","","199638"
"","MN","CHIPPEWA","27","23","","","","85901"
"","MN","CHISAGO","27","25","0.703231627","","","375482"
"","MN","CLAY","27","27","","","","416508"
"","MN","CLEARWATER","27","29","","","","60908"
"","MN","COOK","27","31","","","","36444"
"","MN","COTTONWOOD","27","33","","","","81704"
"","MN","CROW WING","27","35","","","","438877"
"","MN","DAKOTA","27","37","1.747432925","","","2817817"
"","MN","DODGE","27","39","","","","140968"
"","MN","DOUGLAS","27","41","","","","254250"
"","MN","FARIBAULT","27","43","","","","101176"
"","MN","FILLMORE","27","45","","","","146151"
"","MN","FREEBORN","27","47","","","","217799"
"","MN","GOODHUE","27","49","0.553032055","","","323633"
"","MN","GRANT","27","51","","","","42041"
"","MN","HENNEPIN","27","53","1.650306446","2.451043157","201","8200590"
"","MN","HOUSTON","27","55","","","","132535"
"","MN","HUBBARD","27","57","","","","143339"
"","MN","ISANTI","27","59","0.584643035","","","266550"
"","MN","ITASCA","27","61","","","","316460"
"","MN","JACKSON","27","63","","","","71936"
"","MN","KANABEC","27","65","","","","113251"
"","MN","KANDIYOHI","27","67","","","","295472"
"","MN","KITTSON","27","69","","","","31691"
"","MN","KOOCHICHING","27","71","","","","92408"
"","MN","LAC QUI PARLE","27","73","","","","50151"
"","MN","LAKE","27","75","","","","75703"
"","MN","LAKE OF THE WOODS","27","77","","","","28056"
"","MN","LE SUEUR","27","79","","","","194146"
"","MN","LINCOLN","27","81","","","","40951"
"","MN","LYON","27","83","","","","180036"
"","MN","MC LEOD","27","85","","","","254484"
"","MN","MAHNOMEN","27","87","","","","38162"
"","MN","MARSHALL","27","89","","","","66275"
"","MN","MARTIN","27","91","","","","144295"
"","MN","MEEKER","27","93","","","","162482"
"","MN","MILLE LACS","27","95","","","","181766"
"","MN","MORRISON","27","97","1.018545361","","","231660"
"","MN","MOWER","27","99","","","","274221"
"","MN","MURRAY","27","101","","","","60497"
"","MN","NICOLLET","27","103","","","","229409"
"","MN","NOBLES","27","105","","","","150373"
"","MN","NORMAN","27","107","","","","47287"
"","MN","OLMSTED","27","109","","","","1021952"
"","MN","OTTER TAIL","27","111","","","","402152"
"","MN","PENNINGTON","27","113","","","","97902"
"","MN","PINE","27","115","","","","206037"
"","MN","PIPESTONE","27","117","","","","66303"
"","MN","POLK","27","119","","","","220687"
"","MN","POPE","27","121","","","","76874"
"","MN","RAMSEY","27","123","1.757745387","2.07464805","75","3615071"
"","MN","RED LAKE","27","125","","","","28599"
"","MN","REDWOOD","27","127","","","","111308"
"","MN","RENVILLE","27","129","","","","108427"
"","MN","RICE","27","131","0.647993897","","","450908"
"","MN","ROCK","27","133","","","","67212"
"","MN","ROSEAU","27","135","","","","109567"
"","MN","ST LOUIS","27","137","","","","1402786"
"","MN","SCOTT","27","139","1.752890659","","","930238"
"","MN","SHERBURNE","27","141","1.736568744","","","623936"
"","MN","SIBLEY","27","143","","","","105900"
"","MN","STEARNS","27","145","0.720175544","","","1056550"
"","MN","STEELE","27","147","","","","255672"
"","MN","STEVENS","27","149","","","","68203"
"","MN","SWIFT","27","151","","","","67832"
"","MN","TODD","27","153","0.953032092","","","172654"
"","MN","TRAVERSE","27","155","","","","24531"
"","MN","WABASHA","27","157","","","","150965"
"","MN","WADENA","27","159","","","","96446"
"","MN","WASECA","27","161","","","","133581"
"","MN","WASHINGTON","27","163","1.097951771","","","1688743"
"","MN","WATONWAN","27","165","","","","78045"
"","MN","WILKIN","27","167","","","","45993"
"","MN","WINONA","27","169","","","","359372"
"","MN","WRIGHT","27","171","1.868254418","","","881403"
"","MN","YELLOW MEDICINE","27","173","","","","72077"
"","MS","ADAMS","28","1","8.234603864","9.309377203","21","225579"
"","MS","ALCORN","28","3","4.993220143","","","260002"
"","MS","AMITE","28","5","7.9266695","","","91299"
"","MS","ATTALA","28","7","6.78144167","","","135753"
"","MS","BENTON","28","9","6.682740886","","","60352"
"","MS","BOLIVAR","28","11","15.97864574","12.95374677","31","239313"
"","MS","CALHOUN","28","13","5.312265012","","","104060"
"","MS","CARROLL","28","15","11.94321066","","","73386"
"","MS","CHICKASAW","28","17","3.277157942","","","121952"
"","MS","CHOCTAW","28","19","5.549033728","","","59263"
"","MS","CLAIBORNE","28","21","15.70482208","","","66778"
"","MS","CLARKE","28","23","8.247922449","","","116016"
"","MS","CLAY","28","25","4.303503868","","","143831"
"","MS","COAHOMA","28","27","15.57684943","23.27179237","42","180476"
"","MS","COPIAH","28","29","11.71350718","","","204241"
"","MS","COVINGTON","28","31","6.108634296","","","136566"
"","MS","DE SOTO","28","33","11.24642938","3.139418981","36","1146709"
"","MS","FORREST","28","35","4.958412485","6.984360695","37","529755"
"","MS","FRANKLIN","28","37","9.7563223","","","55971"
"","MS","GEORGE","28","39","8.667436901","","","159196"
"","MS","GREENE","28","41","10.51035784","","","100280"
"","MS","GRENADA","28","43","9.16574916","15.0757392","23","152563"
"","MS","HANCOCK","28","45","3.692247746","","","311753"
"","MS","HARRISON","28","47","4.174383434","5.542813742","74","1335062"
"","MS","HINDS","28","49","10.46634966","18.71542442","322","1720506"
"","MS","HOLMES","28","51","8.087488059","17.1839278","23","133846"
"","MS","HUMPHREYS","28","53","12.30700103","","","64778"
"","MS","ISSAQUENA","28","55","10.66618762","","","9988"
"","MS","ITAWAMBA","28","57","2.902024247","","","163821"
"","MS","JACKSON","28","59","7.963687045","3.271689255","32","978088"
"","MS","JASPER","28","61","7.869544226","","","118405"
"","MS","JEFFERSON","28","63","9.14260431","","","53951"
"","MS","JEFFERSON DAVIS","28","65","6.901565275","","","85721"
"","MS","JONES","28","67","6.85126465","5.252056705","25","476004"
"","MS","KEMPER","28","69","6.536746899","","","72449"
"","MS","LAFAYETTE","28","71","5.922777966","","","343587"
"","MS","LAMAR","28","73","6.438361965","","","396721"
"","MS","LAUDERDALE","28","75","6.488372765","8.91052761","50","561134"
"","MS","LAWRENCE","28","77","9.294653138","","","89304"
"","MS","LEAKE","28","79","6.94998646","","","164296"
"","MS","LEE","28","81","3.099683481","4.77118748","28","586856"
"","MS","LEFLORE","28","83","10.96512984","10.6818111","24","224681"
"","MS","LINCOLN","28","85","9.672587355","9.027529863","22","243699"
"","MS","LOWNDES","28","87","4.546639016","6.946773344","29","417460"
"","MS","MADISON","28","89","11.3120008","6.03770473","41","679066"
"","MS","MARION","28","91","7.143972542","","","186081"
"","MS","MARSHALL","28","93","10.65408402","8.920537404","23","257832"
"","MS","MONROE","28","95","3.988630409","","","256727"
"","MS","MONTGOMERY","28","97","8.996486078","","","75202"
"","MS","NESHOBA","28","99","7.293766985","","","207242"
"","MS","NEWTON","28","101","7.453506552","","","152036"
"","MS","NOXUBEE","28","103","5.187097018","","","79708"
"","MS","OKTIBBEHA","28","105","4.915406657","","","337048"
"","MS","PANOLA","28","107","7.384859237","9.493853762","23","242262"
"","MS","PEARL RIVER","28","109","4.544333587","","","389197"
"","MS","PERRY","28","111","6.853848776","","","85450"
"","MS","PIKE","28","113","8.585780586","11.00735007","31","281630"
"","MS","PONTOTOC","28","115","3.71992791","","","211051"
"","MS","PRENTISS","28","117","4.128275697","","","177781"
"","MS","QUITMAN","28","119","13.33373739","","","56394"
"","MS","RANKIN","28","121","10.83913628","2.583797009","26","1006271"
"","MS","SCOTT","28","123","5.180086105","12.64478276","25","197710"
"","MS","SHARKEY","28","125","12.42480719","","","34176"
"","MS","SIMPSON","28","127","11.74802101","","","192317"
"","MS","SMITH","28","129","4.845614948","","","114608"
"","MS","STONE","28","131","4.677209899","","","124088"
"","MS","SUNFLOWER","28","133","13.99814816","","","202184"
"","MS","TALLAHATCHIE","28","135","12.53410954","","","106143"
"","MS","TATE","28","137","5.122532297","","","199410"
"","MS","TIPPAH","28","139","6.003807576","","","154542"
"","MS","TISHOMINGO","28","141","3.177591441","","","136734"
"","MS","TUNICA","28","143","8.572136755","","","74705"
"","MS","UNION","28","145","4.73870336","","","191664"
"","MS","WALTHALL","28","147","9.955942929","","","106801"
"","MS","WARREN","28","149","15.39889112","6.796288635","23","338420"
"","MS","WASHINGTON","28","151","13.08550005","17.22993489","61","354035"
"","MS","WAYNE","28","153","6.521419284","15.19809333","22","144755"
"","MS","WEBSTER","28","155","5.635707845","","","70721"
"","MS","WILKINSON","28","157","8.271873711","","","67484"
"","MS","WINSTON","28","159","5.720419542","","","132965"
"","MS","YALOBUSHA","28","161","8.007764637","","","87879"
"","MS","YAZOO","28","163","13.4599819","","","196993"
"","MO","ADAIR","29","1","","","","179176"
"","MO","ANDREW","29","3","","","","120765"
"","MO","ATCHISON","29","5","","","","39206"
"","MO","AUDRAIN","29","7","1.839653924","","","179656"
"","MO","BARRY","29","9","1.488134232","","","249800"
"","MO","BARTON","29","11","1.694042392","","","86496"
"","MO","BATES","29","13","1.957225842","","","118139"
"","MO","BENTON","29","15","1.973031237","","","132785"
"","MO","BOLLINGER","29","17","2.447995398","","","86831"
"","MO","BOONE","29","19","1.953163148","2.15618359","25","1159456"
"","MO","BUCHANAN","29","21","1.733133259","","","625337"
"","MO","BUTLER","29","23","2.596920794","","","299803"
"","MO","CALDWELL","29","25","","","","64583"
"","MO","CALLAWAY","29","27","1.98898862","","","310303"
"","MO","CAMDEN","29","29","2.12455151","","","306556"
"","MO","CAPE GIRARDEAU","29","31","2.398990166","","","534025"
"","MO","CARROLL","29","33","","","","64568"
"","MO","CARTER","29","35","3.066894546","","","43649"
"","MO","CASS","29","37","6.951725429","","","698407"
"","MO","CEDAR","29","39","","","","97638"
"","MO","CHARITON","29","41","","","","54212"
"","MO","CHRISTIAN","29","43","1.538722353","","","549830"
"","MO","CLARK","29","45","","","","49286"
"","MO","CLAY","29","47","10.06968075","2.03306914","32","1573975"
"","MO","CLINTON","29","49","1.880685091","","","144267"
"","MO","COLE","29","51","2.182638121","","","532172"
"","MO","COOPER","29","53","1.889903891","","","123004"
"","MO","CRAWFORD","29","55","1.925065618","","","172988"
"","MO","DADE","29","57","1.691135583","","","54249"
"","MO","DALLAS","29","59","2.026662005","","","116978"
"","MO","DAVIESS","29","61","","","","58312"
"","MO","DE KALB","29","63","","","","89792"
"","MO","DENT","29","65","2.616324399","","","109384"
"","MO","DOUGLAS","29","67","2.07765549","","","95509"
"","MO","DUNKLIN","29","69","4.280740078","","","223027"
"","MO","FRANKLIN","29","71","4.389144428","","","710938"
"","MO","GASCONADE","29","73","","","","105584"
"","MO","GENTRY","29","75","","","","47512"
"","MO","GREENE","29","77","1.730502661","1.899388859","37","1947995"
"","MO","GRUNDY","29","79","","","","71809"
"","MO","HARRISON","29","81","","","","61922"
"","MO","HENRY","29","83","2.010754821","","","155267"
"","MO","HICKORY","29","85","","","","66248"
"","MO","HOLT","29","87","","","","33322"
"","MO","HOWARD","29","89","1.54475852","","","71243"
"","MO","HOWELL","29","91","3.191791186","","","281962"
"","MO","IRON","29","93","2.629649961","","","73532"
"","MO","JACKSON","29","95","6.966828716","13.4567233","636","4726262"
"","MO","JASPER","29","97","1.506156536","","","816203"
"","MO","JEFFERSON","29","99","5.22501911","1.887267646","29","1536613"
"","MO","JOHNSON","29","101","10.26241536","","","373529"
"","MO","KNOX","29","103","","","","28624"
"","MO","LACLEDE","29","105","2.559412708","","","248512"
"","MO","LAFAYETTE","29","107","10.80277947","","","231997"
"","MO","LAWRENCE","29","109","1.57141877","","","268749"
"","MO","LEWIS","29","111","","","","71293"
"","MO","LINCOLN","29","113","0.851535892","","","371238"
"","MO","LINN","29","115","","","","88042"
"","MO","LIVINGSTON","29","117","","","","105288"
"","MO","MC DONALD","29","119","1.574592377","","","160292"
"","MO","MACON","29","121","","","","108616"
"","MO","MADISON","29","123","2.360031367","","","86500"
"","MO","MARIES","29","125","","","","63801"
"","MO","MARION","29","127","","","","201477"
"","MO","MERCER","29","129","","","","26211"
"","MO","MILLER","29","131","1.563398605","","","174256"
"","MO","MISSISSIPPI","29","133","3.81608644","","","99636"
"","MO","MONITEAU","29","135","1.918510593","","","109549"
"","MO","MONROE","29","137","","","","61843"
"","MO","MONTGOMERY","29","139","1.393762448","","","84721"
"","MO","MORGAN","29","141","1.86984478","","","142885"
"","MO","NEW MADRID","29","143","3.263923425","","","130565"
"","MO","NEWTON","29","145","1.53682811","","","408928"
"","MO","NODAWAY","29","147","","","","162743"
"","MO","OREGON","29","149","3.258448933","","","76255"
"","MO","OSAGE","29","151","1.828101429","","","96702"
"","MO","OZARK","29","153","1.9976612","","","67441"
"","MO","PEMISCOT","29","155","6.589504167","","","127025"
"","MO","PERRY","29","157","1.953278487","","","133239"
"","MO","PETTIS","29","159","1.546142776","","","294494"
"","MO","PHELPS","29","161","1.982920949","","","314037"
"","MO","PIKE","29","163","","","","130039"
"","MO","PLATTE","29","165","4.9331963","","","635563"
"","MO","POLK","29","167","1.947008655","","","217450"
"","MO","PULASKI","29","169","1.996895735","","","365049"
"","MO","PUTNAM","29","171","","","","34582"
"","MO","RALLS","29","173","","","","71339"
"","MO","RANDOLPH","29","175","1.490073626","","","176965"
"","MO","RAY","29","177","9.642971838","","","163154"
"","MO","REYNOLDS","29","179","","","","46581"
"","MO","RIPLEY","29","181","","","","98347"
"","MO","ST CHARLES","29","183","4.343899573","0.860786892","22","2555801"
"","MO","ST CLAIR","29","185","2.595061598","","","67484"
"","MO","STE GENEVIEVE","29","186","1.728493405","","","126448"
"","MO","ST FRANCOIS","29","187","2.046174831","","","458049"
"","MO","ST LOUIS","29","189","7.958390383","6.78655097","475","6999137"
"","MO","SALINE","29","195","","","","162966"
"","MO","SCHUYLER","29","197","","","","30730"
"","MO","SCOTLAND","29","199","","","","33987"
"","MO","SCOTT","29","201","3.06896266","","","274096"
"","MO","SHANNON","29","203","3.890327892","","","58663"
"","MO","SHELBY","29","205","","","","43886"
"","MO","STODDARD","29","207","2.700447464","","","209158"
"","MO","STONE","29","209","1.352445736","","","222456"
"","MO","SULLIVAN","29","211","","","","46179"
"","MO","TANEY","29","213","1.658661396","","","365670"
"","MO","TEXAS","29","215","3.027265572","","","180354"
"","MO","VERNON","29","217","2.596159138","","","146892"
"","MO","WARREN","29","219","1.010660745","","","228470"
"","MO","WASHINGTON","29","221","1.886226645","","","175818"
"","MO","WAYNE","29","223","2.233819171","","","94040"
"","MO","WEBSTER","29","225","2.004005019","","","254163"
"","MO","WORTH","29","227","","","","14896"
"","MO","WRIGHT","29","229","3.30085294","","","130318"
"","MO","ST LOUIS CITY","29","510","10.55212004","28.1555261","628","2230468"
"","MT","BEAVERHEAD","30","1","","","","64833"
"","MT","BIG HORN","30","3","1.770602062","","","90654"
"","MT","BLAINE","30","5","","","","45731"
"","MT","BROADWATER","30","7","","","","39217"
"","MT","CARBON","30","9","1.679628802","","","70965"
"","MT","CARTER","30","11","","","","8166"
"","MT","CASCADE","30","13","","","","570796"
"","MT","CHOUTEAU","30","15","","","","40865"
"","MT","CUSTER","30","17","","","","82505"
"","MT","DANIELS","30","19","","","","12311"
"","MT","DAWSON","30","21","","","","64062"
"","MT","DEER LODGE","30","23","","","","64829"
"","MT","FALLON","30","25","","","","20708"
"","MT","FERGUS","30","27","","","","80506"
"","MT","FLATHEAD","30","29","1.593352533","","","643061"
"","MT","GALLATIN","30","31","","","","643571"
"","MT","GARFIELD","30","33","","","","8783"
"","MT","GLACIER","30","35","","","","94533"
"","MT","GOLDEN VALLEY","30","37","","","","6062"
"","MT","GRANITE","30","39","","","","21758"
"","MT","HILL","30","41","","","","113996"
"","MT","JEFFERSON","30","43","","","","79886"
"","MT","JUDITH BASIN","30","45","","","","14270"
"","MT","LAKE","30","47","1.709586121","","","202079"
"","MT","LEWIS AND CLARK","30","49","1.643666819","","","448084"
"","MT","LIBERTY","30","51","","","","16356"
"","MT","LINCOLN","30","53","2.373803685","","","136481"
"","MT","MC CONE","30","55","","","","11958"
"","MT","MADISON","30","57","","","","53973"
"","MT","MEAGHER","30","59","1.223636616","","","13231"
"","MT","MINERAL","30","61","","","","29540"
"","MT","MISSOULA","30","63","1.552580811","","","771391"
"","MT","MUSSELSHELL","30","65","","","","32073"
"","MT","PARK","30","67","","","","109892"
"","MT","PETROLEUM","30","69","","","","3452"
"","MT","PHILLIPS","30","71","","","","29381"
"","MT","PONDERA","30","73","","","","43263"
"","MT","POWDER RIVER","30","75","","","","12276"
"","MT","POWELL","30","77","1.299201232","","","49191"
"","MT","PRAIRIE","30","79","","","","8080"
"","MT","RAVALLI","30","81","","","","283267"
"","MT","RICHLAND","30","83","","","","72545"
"","MT","ROOSEVELT","30","85","","","","74754"
"","MT","ROSEBUD","30","87","1.778034605","","","64910"
"","MT","SANDERS","30","89","1.921664895","","","79786"
"","MT","SHERIDAN","30","91","","","","24531"
"","MT","SILVER BOW","30","93","","","","240093"
"","MT","STILLWATER","30","95","","","","64096"
"","MT","SWEET GRASS","30","97","","","","25634"
"","MT","TETON","30","99","1.789078792","","","42561"
"","MT","TOOLE","30","101","","","","36348"
"","MT","TREASURE","30","103","1.734510818","","","5033"
"","MT","VALLEY","30","105","","","","52358"
"","MT","WHEATLAND","30","107","","","","14948"
"","MT","WIBAUX","30","109","","","","7327"
"","MT","YELLOWSTONE","30","111","1.950991103","","","1050119"
"","NE","ADAMS","31","1","","","","219450"
"","NE","ANTELOPE","31","3","","","","46124"
"","NE","ARTHUR","31","5","","","","3210"
"","NE","BANNER","31","7","","","","5108"
"","NE","BLAINE","31","9","","","","3404"
"","NE","BOONE","31","11","","","","38091"
"","NE","BOX BUTTE","31","13","","","","79386"
"","NE","BOYD","31","15","","","","14470"
"","NE","BROWN","31","17","","","","21371"
"","NE","BUFFALO","31","19","","","","328180"
"","NE","BURT","31","21","","","","47320"
"","NE","BUTLER","31","23","0.690399307","","","58325"
"","NE","CASS","31","25","0.878449244","","","177005"
"","NE","CEDAR","31","27","","","","61397"
"","NE","CHASE","31","29","","","","27739"
"","NE","CHERRY","31","31","","","","40176"
"","NE","CHEYENNE","31","33","","","","70437"
"","NE","CLAY","31","35","","","","45178"
"","NE","COLFAX","31","37","","","","72998"
"","NE","CUMING","31","39","","","","63745"
"","NE","CUSTER","31","41","","","","76125"
"","NE","DAKOTA","31","43","","","","145971"
"","NE","DAWES","31","45","","","","64066"
"","NE","DAWSON","31","47","","","","169370"
"","NE","DEUEL","31","49","","","","13685"
"","NE","DIXON","31","51","","","","41548"
"","NE","DODGE","31","53","5.094009154","","","256853"
