LEAR_ID,AGENCYNAME,CITY,ZIPCODE,STATE,COUNTY,FIPS,ORI9,geocode_status,geocode_success,geo_formatted_address,lat,lng
635592,DAVIS POLICE DEPARTMENT,DAVIS,95618,CA,YOLO,6113,CA0570100,OK,1,"Davis, CA 95618, USA",38.518893,-121.6511258
645110,WEST NEW YORK POLICE,WEST NEW YORK,7093,NJ,HUDSON,34017,NJ0091200,ZERO_RESULTS,0,,0.0,0.0
631270,WESTOVER POLICE DEPARTMENT,WESTOVER,26501,WV,MONONGALIA,54061,WV0310400,OK,1,"Morgantown, WV 26501, USA",39.6140631,-80.03113640000001
631316,BARABOO POLICE DEPARTMENT,BARABOO,53913,WI,SAUK,55111,WI0570200,OK,1,"Baraboo, WI 53913, USA",43.52193219999999,-89.7379958
631684,OREGON POLICE DEPARTMENT,OREGON,53575,WI,DANE,55025,WI0137400,OK,1,"Oregon, WI 53575, USA",42.9205564,-89.3795835
632738,LOGAN CITY POLICE DEPARTMENT,LOGAN,84321,UT,CACHE,49005,UT0030100,OK,1,"Logan, UT 84321, USA",41.7131433,-111.689921
635886,RIALTO POLICE DEPARTMENT,RIALTO,92376,CA,SAN BERNARDINO,6071,CA0360900,OK,1,"Rialto, CA 92376, USA",34.1063841,-117.3703189
636176,BROOMFIELD POLICE DEPARTMENT,BROOMFIELD,80020,CO,BROOMFIELD,8014,CO0640100,OK,1,"Westminster, CO 80020, USA",39.93891989999999,-105.0674317
639674,GREENCASTLE POLICE DEPARTMENT,GREENCASTLE,46135,IN,PUTNAM,18133,IN0670100,OK,1,"Greencastle, IN 46135, USA",39.6529824,-86.9423801
640241,HARVEY COUNTY SHERIFF'S DEPARTMENT,NEWTON,67114,KS,HARVEY,20079,KS0400000,OK,1,"Newton, KS 67114, USA",38.06972469999999,-97.286868
640310,LEAVENWORTH POLICE DEPARTMENT,LEAVENWORTH,66048,KS,LEAVENWORTH,20103,KS0520100,OK,1,"Leavenworth, KS 66048, USA",39.2758776,-94.99744609999999
640718,KENTON COUNTY POLICE DEPARTMENT,INDEPENDENCE,41051,KY,KENTON,21117,KY0590500,OK,1,"Independence, KY 41051, USA",38.9328899,-84.5327038
640934,WILLIAMSBURG POLICE DEPARTMENT,WILLIAMSBURG,40769,KY,WHITLEY,21235,KY1180200,OK,1,"CUMBERLND CLG, KY 40769, USA",36.7434075,-84.1598641
641114,JACKSON PARISH SHERIFFS OFFICE,JONESBORO,71251,LA,JACKSON,22049,LA0250000,OK,1,"Jonesboro, LA 71251, USA",32.214445,-92.6785092
641250,RICHLAND PARISH SHERIFF'S OFFICE,RAYVILLE,71269,LA,RICHLAND,22083,LA0420000,OK,1,"Alto, LA 71269, USA",32.48037910000001,-91.714958
641268,ST JOHN THE BAPTIST PARISH SHERIFF'S OFFICE,LA PLACE,70068,LA,ST. JOHN THE BAPTIST PARISH,22095,LA0480000,OK,1,"Laplace, LA 70068, USA",30.0887982,-90.46910969999999
642855,GREENE COUNTY SHERIFF'S OFFICE,SPRINGFIELD,65802,MO,GREENE,29077,MO0390000,OK,1,"Springfield, MO 65802, USA",37.1953893,-93.3892894
643437,HINDS COUNTY SHERIFF'S DEPARTMENT,JACKSON,39215,MS,HINDS,28049,MS0250000,OK,1,"Jackson, MS 39215, USA",32.3,-90.17999999999999
644714,HARRINGTON PARK POLICE,HARRINGTON PARK,7640,NJ,BERGER,34003,NJ0022400,ZERO_RESULTS,0,,0.0,0.0
644720,HAWORTH POLICE,HAWORTH,7641,NJ,BERGEN,34003,NJ0022600,ZERO_RESULTS,0,,0.0,0.0
645115,WEST WINDSOR TOWNSHIP POLICE,PRINCETON JUNCTION,8550,NJ,MERCER,34021,NJ0111300,ZERO_RESULTS,0,,0.0,0.0
647511,PURCELL POLICE DEPARTMENT,PURCELL,73080,OK,MCCLAIN,40087,OK0440200,OK,1,"Purcell, OK 73080, USA",34.9638219,-97.4597725
649086,WOODFIN POLICE DEPARTMENT,WOODFIN,28804,NC,BUNCOMBE CO,37021,NC0110600,OK,1,"Woodfin, NC 28804, USA",35.6304783,-82.5510469
649590,DONNA POLICE DEPARTMENT,DONNA,78537,TX,HIDALGO,48215,TX1080200,OK,1,"Donna, TX 78537, USA",26.1583669,-98.0574299
634204,EDGEWORTH BOROUGH POLICE DEPARTMENT,SEWICKLEY,15143,PA, ,42003,PA0026500,OK,1,"Sewickley, PA 15143, USA",40.55937309999999,-80.1651854
641085,GRAND ISLE POLICE DEPARTMENT,GRAND ISLE,70358,LA,JEFFERSON,22051,LA0260500,OK,1,"Grand Isle, LA 70358, USA",29.2366128,-89.98729209999999
639522,BOURBON POLICE DEPARTMENT,BOURBON,46504,IN,MARSHALL,18099,IN0500400,OK,1,"Bourbon, IN 46504, USA",41.3157551,-86.1141045
633445,BERKELEY COUNTY SHERIFF'S OFFICE,MONCKS CORNER,29461,SC,BERKELEY,45015,SC0080000,OK,1,"Moncks Corner, SC 29461, USA",33.146521,-79.9864071
630820,PINE BLUFF POLICE DEPARTMENT,PINE BLUFF,71601,AR,JEFFERSON,5069,AR0350100,OK,1,"Pine Bluff, AR 71601, USA",34.1609503,-91.89038819999999
630858,SHANNON HILLS POLICE DEPARTMENT,MABELVALE,72103,AR,SALINE,5125,AR0630400,OK,1,"Mabelvale, AR 72103, USA",34.5848727,-92.3912362
632361,CHARLOTTE COUNTY SHERIFF'S OFFICE,CHARLOTTE COURT HOUSE,23923,VA, ,51037,VA0200000,OK,1,"CHARLOTTE C H, VA 23923, USA",37.0701255,-78.6341996
633861,AKRON BOROUGH POLICE DEPARTMENT,AKRON,17501,PA,LANCASTER,42071,PA0361600,OK,1,"Akron, PA 17501, USA",40.1572068,-76.19865949999999
636963,PORT RICHEY POLICE DEPARTMENT,PORT RICHEY,34668,FL,PASCO,12101,FL0510400,OK,1,"Port Richey, FL 34668, USA",28.3031034,-82.7023383
639760,KOKOMO POLICE DEPARTMENT,KOKOMO,46901,IN,HOWARD,18067,IN0340100,OK,1,"Kokomo, IN 46901, USA",40.50995,-86.15482689999999
640567,CAMPBELLSBURG POLICE DEPARTMENT,CAMPBELLSBURG,40011,KY,HENRY,21103,KY0520400,OK,1,"Campbellsburg, KY 40011, USA",38.53428830000001,-85.21012689999999
640767,LYNNVIEW POLICE DEPARTMENT,LOUISVILLE,40213,KY, ,21111,KY0561200,OK,1,"Louisville, KY 40213, USA",38.1804513,-85.71024369999999
640900,TAYLORSVILLE POLICE DEPARTMENT,TAYLORSVILLE,40071,KY,SPENCER,21215,KY1080100,OK,1,"Taylorsville, KY 40071, USA",38.0358921,-85.37562489999999
645759,MOUNT MORRIS  POLICE DEPARTMENT,MOUNT MORRIS,14510,NY,LIVINGSTON,36051,NY0252600,OK,1,"Mt Morris, NY 14510, USA",42.668675,-77.9053182
648333,OTISVILLE POLICE DEPARTMENT,OTISVILLE,48463,MI,GENESEE,26049,MI2564000,OK,1,"Otisville, MI 48463, USA",43.165979,-83.528342
649414,CLARKSVILLE POLICE DEPARTMENT,CLARKSVILLE,75426,TX,RED RIVER,48387,TX1940100,OK,1,"Clarksville, TX 75426, USA",33.650198,-95.01824599999999
644760,JERSEY CITY POLICE DEPARTMENT,JERSEY CITY,7302,NJ,HUDSON,34017,NJ0090600,ZERO_RESULTS,0,,0.0,0.0
647604,TULSA POLICE DEPARTMENT,TULSA,74103,OK, ,40143,OK0720500,OK,1,"Tulsa, OK 74103, USA",36.1592882,-95.99647829999999
648265,MICHIGAN STATE POLICE,LANSING,48909,MI,INGHAM,26065,MI3300100,OK,1,"Lansing, MI 48909, USA",42.68,-84.5
